x,y,z
79.05964,527.49237,296.41901
197.86228,490.29654,296.41901
562.89292,463.07222,8
343.71464,-303.67421,8
502.99196,189.30171,8
462.17932,-77.11511,8
578.39077,252.78984,108
137.54164,495.44826,296.41901
289.96051,-375.65879,8
215.20702,-338.90355,8
305.64088,-237.33344,8
531.77066,-246.93807,8
185.80454,-211.81615,8
543.39735,51.18027,8
453.84085,486.54792,296.41901
171.87045,88.9787,8
326.72475,31.06664,108
113.16153,508.34496,296.41901
408.50843,-51.84896,8
87.74995,-147.17673,8
529.48979,-134.88391,8
219.05359,378.88431,8
171.64459,-143.75295,8
546.30116,-360.92784,8
420.66143,-274.93989,8
202.06619,-524.00463,296.41901
49.13152,-121.83727,8
376.27214,87.4075,8
397.74958,-495.2746,296.41901
579.54541,-495.83105,296.41901
43.4613,156.13248,8
328.73981,-56.07064,8
27.16063,385.47979,8
35.26575,-372.57978,8
126.00761,417.96406,8
546.17125,-135.17489,8
536.05646,-424.40015,8
72.63467,0.87221,8
60.20368,-423.65476,8
158.33317,-421.69885,8
532.81486,299.21594,8
28.79837,-478.11887,8
38.99643,137.99843,8
417.71015,30.37421,8
433.36621,18.87859,8
185.44614,24.80252,8
98.81976,224.50989,8
230.6806,201.51965,8
165.79398,-318.92026,8
242.81267,186.18188,8
158.89564,190.20905,8
186.60303,378.91883,8
428.59842,-117.22522,8
579.54541,495.83105,296.41901
467.3973,-452.56342,8
27.74064,407.06175,8
6.42389,-296.90841,108
385.59791,-242.86549,8
21.99839,-181.7228,8
165.34862,-57.9063,8
210.32389,-159.78637,8
207.2649,465.46035,8
126.54366,-511.49881,296.41901
125.87936,289.41693,8
538.47603,157.32661,8
529.48979,134.88391,8
409.22928,-60.89888,8
537.03505,502.1475,296.41901
462.17932,77.11511,8
368.81747,-535.20534,471.66666
557.26972,95.32296,8
305.64088,237.33344,8
524.38721,-513.06978,296.41901
313.34448,127.36209,8
171.87045,-88.9787,8
42.32618,510.02135,296.41901
412.18853,225.52967,8
289.64599,72.18387,8
90.15249,378.71001,8
114.1992,503.21575,296.41901
323.1285,250.72473,8
433.56004,487.25875,296.41901
138.79038,102.37326,8
114.59326,56.02326,8
195.38161,-442.38411,8
243.01275,173.17382,8
415.70413,-290.06185,8
178.59719,-450.14197,8
283.64258,-422.44131,8
11.14997,-437.00003,8
445.48348,-243.25649,8
335.00519,365.83857,8
287.8618,-388.62103,8
535.0255,-378.41882,8
86.08916,122.63685,8
121.50408,-271.13474,8
147.9482,-445.88317,8
311.33287,-321.4518,8
356.19914,-27.1506,8
462.28398,505.04816,296.41901
122.01453,-342.98227,8
230.59599,-410.03607,8
557.26972,-95.32296,8
298.12636,206.75439,8
6.24739,237.0643,108
101.47961,517.88855,296.41901
295.29295,9.13269,8
159.62494,474.10356,8
74.73336,146.7603,8
572.29079,40.83112,8
183.86781,-269.12155,108
155.489,-463.95732,8
